Strategy,Position,Name,Salary,FPPG
Filtered_Lineup_15,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_15,3B,Alex Bregman,3400,11.91891892
Filtered_Lineup_15,SS,Francisco Lindor,3400,11.37068966
Filtered_Lineup_15,OF1,Byron Buxton,3800,13.86976801
Filtered_Lineup_15,OF2,Taylor Ward,3200,11.37692287
Filtered_Lineup_15,OF3,Shohei Ohtani,4800,15.65299166
Filtered_Lineup_15,P,Matthew Liberatore,7800,24.76190476
Filtered_Lineup_16,C,Will Smith,3400,11.02717391
Filtered_Lineup_16,1B,Andrew Vaughn,2900,8.783783784
Filtered_Lineup_16,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_16,3B,Rafael Devers,3700,11.77583313
Filtered_Lineup_16,SS,Charles Leblanc,2000,8.290908813
Filtered_Lineup_16,OF1,Byron Buxton,3800,13.86976801
Filtered_Lineup_16,OF2,Everson Pereira,2000,12.19999981
Filtered_Lineup_16,OF3,Ramon Laureano,3100,10.08478248
Filtered_Lineup_16,P,Paul Skenes,10800,38.625
Filtered_Lineup_17,C,Hunter Goodman,3000,10.53846154
Filtered_Lineup_17,1B,Vladimir Guerrero Jr.,3400,11.82051282
Filtered_Lineup_17,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_17,3B,Matt Chapman,3200,10.22736816
Filtered_Lineup_17,SS,Mookie Betts,3300,9.839449541
Filtered_Lineup_17,OF1,Shohei Ohtani,4800,15.65299166
Filtered_Lineup_17,OF2,Aaron Judge,4700,15.5403672
Filtered_Lineup_17,OF3,Maikel Garcia,3100,10.45338983
Filtered_Lineup_17,P,Victor Mederos,5500,9.0
Filtered_Lineup_18,C,Ben Rice,3100,9.050505051
Filtered_Lineup_18,1B,Yandy Diaz,3000,10.62212433
Filtered_Lineup_18,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_18,3B,Colson Montgomery,3100,11.19375038
Filtered_Lineup_18,SS,Zach Neto,3300,12.02400024
Filtered_Lineup_18,OF1,Ramon Laureano,3100,10.08478248
Filtered_Lineup_18,OF2,Teoscar Hernandez,3200,10.26770846
Filtered_Lineup_18,OF3,Giancarlo Stanton,3100,10.78780458
Filtered_Lineup_18,P,Robbie Ray,9900,35.375
Filtered_Lineup_19,C,Hunter Goodman,3000,10.53846154
Filtered_Lineup_19,1B,Vladimir Guerrero Jr.,3400,11.82051282
Filtered_Lineup_19,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_19,3B,Matt Chapman,3200,10.22736816
Filtered_Lineup_19,SS,Colson Montgomery,3100,11.19375038
Filtered_Lineup_19,OF1,Daulton Varsho,3100,12.88387077
Filtered_Lineup_19,OF2,Everson Pereira,2000,12.19999981
Filtered_Lineup_19,OF3,Sal Frelick,2900,9.451456311
Filtered_Lineup_19,P,Paul Skenes,10800,38.625
Filtered_Lineup_20,C,Will Smith,3400,11.02717391
Filtered_Lineup_20,1B,Wilmer Flores,2600,8.375757699
Filtered_Lineup_20,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_20,3B,Alex Bregman,3400,11.91891892
Filtered_Lineup_20,SS,Geraldo Perdomo,3400,11.70508433
Filtered_Lineup_20,OF1,Daulton Varsho,3100,12.88387077
Filtered_Lineup_20,OF2,Shohei Ohtani,4800,15.65299166
Filtered_Lineup_20,OF3,Wyatt Langford,2900,10.31111099
Filtered_Lineup_20,P,Dustin May,7900,25.85
Filtered_Lineup_21,C,Willson Contreras,3000,10.1584073
Filtered_Lineup_21,1B,Juan Yepez,2000,8.784127372
Filtered_Lineup_21,2B,Luke Keaschall,3200,15.32307669
