player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds,model_confidence,confidence_adjusted_edge,market_category,kelly_size_full,kelly_size_quarter
Ryan Fernandez,pitcher_strikeouts,prizepicks,6.0,3.0025377971129705,0.02284163203566192,0.5238095238095238,UNDER,1.05203257272511,1.05203257272511,VERY_HIGH,-110,0.9518225221484621,1.0013482967535496,PREMIUM,0.9554464622421658,0.23886161556054145
Ryan Brasier,pitcher_strikeouts,prizepicks,4.5,1.5046606851882753,0.02291841059745925,0.5238095238095238,UNDER,1.0518713377453355,1.0518713377453355,VERY_HIGH,-110,0.9518225221484621,1.001194829668442,PREMIUM,0.955293363243071,0.23882334081076775
Ryan Brasier,pitcher_strikeouts,underdog,4.5,1.5046606851882753,0.02291841059745925,0.5238095238095238,UNDER,1.0518713377453355,1.0518713377453355,VERY_HIGH,-110,0.9518225221484621,1.001194829668442,PREMIUM,0.955293363243071,0.23882334081076775
Ryan Helsley,pitcher_strikeouts,prizepicks,6.0,3.0335412367851147,0.023984713245625122,0.5238095238095238,UNDER,1.0496321021841872,1.0496321021841872,VERY_HIGH,-110,0.9518225221484621,0.9990634748289454,PREMIUM,0.9531646963468261,0.23829117408670653
Ryan Pressly,pitcher_strikeouts,prizepicks,6.0,3.038575193968784,0.024174774817124156,0.5238095238095238,UNDER,1.0492329728840393,1.0492329728840393,VERY_HIGH,-110,0.9518225221484621,0.9986835745718152,PREMIUM,0.9527847990412204,0.2381961997603051
Kyle Hendricks,pitcher_strikeouts,underdog,4.5,1.1644312760556232,0.013083897423946333,0.5238095238095238,UNDER,1.072523815409713,1.072523815409713,VERY_HIGH,-110,0.9311138524889747,0.9986417816523119,PREMIUM,0.9747169353072613,0.24367923382681533
Max Muncy,total_bases,prizepicks,4.5,1.5862829219284076,0.026039627212259275,0.5238095238095238,UNDER,1.0453167828542558,1.0453167828542558,VERY_HIGH,-110,0.9545230338690021,0.9977789469242291,PREMIUM,0.9490496207177724,0.2372624051794431
Ryan Brasier,pitcher_strikeouts,prizepicks,6.0,3.0532275967552236,0.024735202980357474,0.5238095238095238,UNDER,1.0480560737412494,1.0480560737412494,VERY_HIGH,-110,0.9518225221484621,0.9975633754614106,PREMIUM,0.9516637668838597,0.23791594172096492
Jacob Nottingham,hits,prizepicks,2.5,0.32856163414901995,0.01494902571162493,0.5238095238095238,UNDER,1.0686070460055876,1.0686070460055876,VERY_HIGH,-110,0.9330513744879214,0.997065273062991,PREMIUM,0.9710617106320071,0.24276542765800177
Cam Smith,total_bases,prizepicks,3.5,0.7461295113883983,0.03318521361326565,0.5238095238095238,UNDER,1.0303110514121423,1.0303110514121423,VERY_HIGH,-110,0.9669888268518928,0.9962992748975676,PREMIUM,0.9346058592207275,0.23365146480518187
Kyle Gibson,pitcher_strikeouts,prizepicks,5.5,2.2375429344574074,0.014816130689736529,0.5238095238095238,UNDER,1.0688861255515534,1.0688861255515534,VERY_HIGH,-110,0.9311138524889747,0.9952546782343208,PREMIUM,0.9713225885474585,0.2428306471368646
Ryan Fernandez,pitcher_strikeouts,underdog,6.5,3.5826136726276308,0.02589204987336724,0.5238095238095238,UNDER,1.0456266952659288,1.0456266952659288,VERY_HIGH,-110,0.9518225221484621,0.9952510383137777,PREMIUM,0.9493457190258073,0.23733642975645183
Wyatt Langford,total_bases,prizepicks,4.5,1.8383180139243687,0.037993987927412376,0.5238095238095238,UNDER,1.0202126253524342,1.0202126253524342,VERY_HIGH,-110,0.975467218354342,0.9951839717825195,PREMIUM,0.9247647674699859,0.23119119186749648
